time,type,id,xSpeed,ySpeed,yDistance,xDistance,Vx平均值,Vy平均值
16:47:41,前向,21,12.7m/s,3.4m/s,28.8m,2.5m,13.77,0
16:47:42,左后,765,14.5m/s,0.5m/s,-7.0m,2.4m,14.27,0.03
16:47:42,左后,785,11.0m/s,0.2m/s,-57.8m,2.0m,14.27,0.03
16:47:42,左后,788,10.0m/s,0.0m/s,-31.4m,-0.6m,14.27,0.03
16:47:42,左后,780,9.2m/s,1.5m/s,-60.2m,4.2m,14.27,0.03
16:47:42,左后,777,8.2m/s,0.5m/s,-39.0m,-6.8m,14.27,0.03
16:47:42,左后,778,6.8m/s,6.2m/s,-75.2m,-17.6m,14.27,0.03
16:47:42,左前,262,17.1m/s,-0.4m/s,50.7m,0.6m,14.27,0.03
16:47:42,左前,279,15.4m/s,-0.1m/s,84.8m,5.3m,14.27,0.03
16:47:42,左前,257,14.2m/s,0.2m/s,48.3m,-0.4m,14.27,0.03
16:47:42,左前,312,12.1m/s,0.3m/s,6.9m,3.1m,14.27,0.03
16:47:42,左前,280,13.2m/s,0.0m/s,28.7m,2.5m,14.27,0.03
16:47:42,左前,263,12.0m/s,0.4m/s,10.3m,3.1m,14.27,0.03
16:47:42,右后,1029,14.8m/s,0.2m/s,-7.0m,2.6m,14.27,0.03
16:47:42,右后,1031,11.5m/s,2.5m/s,-72.4m,4.2m,14.27,0.03
16:47:42,右后,1041,11.8m/s,1.0m/s,-53.0m,-0.4m,14.27,0.03
16:47:42,右后,1027,11.2m/s,1.2m/s,-57.6m,3.4m,14.27,0.03
16:47:42,左后,793,13.5m/s,-0.2m/s,51.4m,2.2m,14.27,0.03
16:47:42,左后,797,13.2m/s,-0.1m/s,25.3m,3.0m,14.27,0.03
16:47:42,左后,822,12.1m/s,0.3m/s,6.8m,3.2m,14.27,0.03
16:47:42,左前,265,11.8m/s,1.2m/s,-53.2m,-0.4m,14.27,0.03
16:47:42,左前,285,11.5m/s,0.2m/s,-72.4m,0.6m,14.27,0.03
16:47:42,左前,278,10.0m/s,0.0m/s,-31.6m,-0.4m,14.27,0.03
16:47:42,左前,270,9.2m/s,1.5m/s,-60.4m,4.4m,14.27,0.03
16:47:42,左前,267,8.2m/s,0.5m/s,-39.4m,-6.8m,14.27,0.03
16:47:42,左前,268,6.8m/s,6.0m/s,-75.6m,-17.4m,14.27,0.03
16:47:42,前向,6,14.1m/s,-0.7m/s,48.1m,-3.1m,14.27,0.03
16:47:42,前向,28,13.5m/s,-0.3m/s,51.4m,2.2m,14.27,0.03
16:47:42,前向,30,13.1m/s,0.2m/s,28.8m,2.7m,14.27,0.03
16:47:42,前向,21,12.7m/s,3.4m/s,28.7m,2.8m,14.27,0.03
16:47:42,前向,32,13.2m/s,0.0m/s,25.2m,3.1m,14.27,0.03
16:47:42,右前,510,14.5m/s,0.5m/s,-7.0m,2.6m,14.27,0.03
16:47:42,前向,14,11.8m/s,0.5m/s,-36.8m,2.0m,14.27,0.03
16:47:42,前向,20,11.0m/s,0.2m/s,-58.2m,2.4m,14.27,0.03
16:47:42,前向,23,10.0m/s,0.0m/s,-32.0m,-0.4m,14.27,0.03
16:47:42,前向,15,9.2m/s,1.5m/s,-60.8m,4.6m,14.27,0.03
16:47:42,前向,12,8.2m/s,0.5m/s,-40.0m,-6.8m,14.27,0.03
16:47:42,前向,13,6.8m/s,6.0m/s,-76.4m,-16.8m,14.27,0.03
16:47:42,前向,57,12.1m/s,0.3m/s,6.6m,3.2m,14.27,0.03
16:47:42,右前,520,17.0m/s,-0.5m/s,51.2m,-0.5m,14.27,0.03
16:47:42,前向,31,-18.2m/s,-4.9m/s,33.6m,-46.4m,14.27,0.03
16:47:42,前向,18,14.5m/s,1.2m/s,-45.2m,-3.4m,14.27,0.03
16:47:42,左前,269,12.0m/s,0.5m/s,-37.4m,2.0m,14.27,0.03
16:47:42,前向,7,14.2m/s,-0.4m/s,0.8m,-3.2m,14.27,0.03
16:47:42,右前,516,14.1m/s,-0.9m/s,48.0m,-3.6m,14.27,0.03
16:47:42,右前,538,13.6m/s,-0.3m/s,51.0m,1.9m,14.27,0.03
16:47:42,右前,540,13.4m/s,0.0m/s,28.4m,2.5m,14.27,0.03
16:47:42,右前,542,13.3m/s,0.0m/s,24.7m,3.0m,14.27,0.03
16:47:42,右前,524,12.0m/s,0.5m/s,-37.8m,2.2m,14.27,0.03
16:47:42,右前,533,10.5m/s,0.0m/s,-34.0m,0.0m,14.27,0.03
16:47:42,右前,567,12.1m/s,0.3m/s,5.5m,3.3m,14.27,0.03
16:47:42,右前,522,8.5m/s,0.2m/s,-43.0m,-6.6m,14.27,0.03
16:47:42,左后,772,14.5m/s,-0.5m/s,0.9m,-3.1m,14.27,0.03
16:47:43,左前,262,16.7m/s,-0.8m/s,53.1m,0.0m,14.6,0.01
16:47:43,左前,257,14.0m/s,-0.1m/s,47.9m,-1.0m,14.6,0.01
16:47:43,左前,280,13.4m/s,-0.1m/s,27.8m,2.0m,14.6,0.01
16:47:43,左前,263,12.3m/s,0.3m/s,8.3m,3.1m,14.6,0.01
16:47:43,右后,1029,14.2m/s,0.2m/s,-6.8m,2.6m,14.6,0.01
16:47:43,右后,1041,11.5m/s,1.0m/s,-55.8m,0.2m,14.6,0.01
16:47:43,右后,1031,11.5m/s,1.8m/s,-75.4m,4.6m,14.6,0.01
16:47:43,右后,1027,11.2m/s,0.8m/s,-60.8m,3.6m,14.6,0.01
16:47:43,前向,7,15.0m/s,-0.7m/s,1.2m,-3.0m,14.6,0.01
16:47:43,前向,20,16.9m/s,0.1m/s,3.1m,-2.7m,14.6,0.01
16:47:43,前向,6,14.0m/s,-0.9m/s,47.9m,-3.9m,14.6,0.01
16:47:43,前向,28,13.7m/s,-0.4m/s,50.7m,1.6m,14.6,0.01
16:47:43,前向,30,13.3m/s,-0.2m/s,27.9m,2.0m,14.6,0.01
16:47:43,前向,32,13.4m/s,0.0m/s,24.3m,3.0m,14.6,0.01
16:47:43,前向,57,12.2m/s,0.2m/s,4.8m,3.0m,14.6,0.01
16:47:43,前向,14,12.2m/s,0.2m/s,-38.6m,2.2m,14.6,0.01
16:47:43,前向,15,10.2m/s,1.0m/s,-64.8m,4.6m,14.6,0.01
16:47:43,前向,23,10.2m/s,-0.2m/s,-35.6m,0.2m,14.6,0.01
16:47:43,左前,267,8.5m/s,0.0m/s,-45.4m,-6.2m,14.6,0.01
16:47:43,右前,520,16.7m/s,-0.9m/s,53.4m,-1.4m,14.6,0.01
16:47:43,左后,822,12.2m/s,0.2m/s,4.7m,3.1m,14.6,0.01
