time,id,Speed,xDistance,yDistance,Vx平均值,Vy平均值,grid_position,TTC_matrix,IS_matrix,Total_Risk_matrix,state,时间ID
16:47:27,4,5.2,6.2,-2.8,6.99,0.01,9 ,3.798388258253861,1.2865535556342922,2.5424709069440765,Medium Risk,1
16:47:27,29,4.9,0.2,-2.8,6.99,0.01,8 ,1.3424792762661404,0.5308774802200179,0.9366783782430792,High Risk,1
16:47:27,28,5.3,2.9,-2.7,6.99,0.01,9 ,2.3431731462715457,0.7493436310923804,1.546258388681963,Medium Risk,1
16:47:28,4,5.6,4.8,-2.8,7.38,0.01,9 ,3.120132766242977,1.022775390973485,2.0714540786082307,Medium Risk,1
16:47:28,28,5.7,1.4,-2.8,7.38,0.01,8 ,1.8622739747014567,0.5761753335724074,1.219224654136932,High Risk,1
16:47:28,12,4,-6.4,-2.6,7.38,0.01,7 ,2.0431684629014524,1.2714282053219523,1.6572983341117022,Medium Risk,1
16:47:28,510,7,-6.6,0.2,7.38,0.01,4 ,17.330478195741836,1.215303835981079,9.272891015861456,Low Risk,1
16:47:29,510,7.2,-6.6,0.6,7.78,0.02,4 ,11.406064364500104,1.1879841710669612,6.297024267783533,Low Risk,1
16:47:29,4,6,3.3,-2.7,7.78,0.02,9 ,2.394014361808868,0.7643221186586081,1.579168240233738,Medium Risk,1
16:47:29,12,5.5,-7,-2.4,7.78,0.02,7 ,3.2441545825724427,1.326512076309087,2.285333329440765,Medium Risk,1
16:47:29,28,6.2,0.4,-3,7.78,0.02,8 ,1.9142947371941736,0.5425343311068007,1.2284145341504873,High Risk,1
16:47:29,1029,7.8,-7.4,0,7.78,0.02,4 ,352.81284399695267,1.326512076309087,177.06967803663088,Low Risk,1
16:47:29,765,7.5,-7,0.4,7.78,0.02,4 ,24.949387493998977,1.2568557184756295,13.103121606237304,Low Risk,1
16:47:30,1029,7.8,-7.4,-0.2,8.63,0.02,4 ,8.907937146113808,1.2599528771475426,5.083945011630675,Low Risk,1
16:47:30,12,6,-6.8,-2.6,8.63,0.02,7 ,2.7670261359240125,1.2390874496329451,2.003056792778479,Medium Risk,1
16:47:30,4,6.6,2.7,-2.9,8.63,0.02,9 ,1.950899723903451,0.6743942357048841,1.3126469798041676,Medium Risk,1
16:47:30,765,7.8,-7,0.4,8.63,0.02,4 ,8.437092332220683,1.1933558336094152,4.815224082915049,Low Risk,1
16:47:30,510,7.8,-7,0.4,8.63,0.02,4 ,8.437092332220683,1.1933558336094152,4.815224082915049,Low Risk,1
16:47:31,4,6.1,0,-2.7,9.72,0.03,8 ,0.7456408394567731,0.4330116706800283,0.5893262550684006,High Risk,1
16:47:31,12,6.8,-7.4,-2.6,9.72,0.03,7 ,2.6851572433795745,1.2578938708399547,1.9715255571097647,Medium Risk,1
16:47:31,267,7.2,-7.2,-2.4,9.72,0.03,7 ,3.0104430830508,1.2171583402521249,2.1138007116514625,Medium Risk,1
16:47:32,4,7.2,0,-2.9,10.65,0,8 ,0.8403361344537815,0.4443172744510242,0.6423267044524029,High Risk,1
16:47:41,255,14.5,-7.4,2.4,13.77,0,4 ,10.642216327647995,1.048220125784067,5.845218226716032,Low Risk,1
16:47:41,20,17.6,1.7,-3,13.77,0,8 ,0.9000751578995908,0.4646157860134831,0.6823454719565369,High Risk,1
16:48:52,818,16.3,5,-5.9,14.87,0.01,9 ,5.40440998782974,1.0027700913021689,3.2035900395659542,Medium Risk,1
16:48:52,308,16.3,5.2,-6.1,14.87,0.01,9 ,5.6014176139511065,1.0393241935404924,3.3203709037458,Medium Risk,1
